SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
In what the FBI is describing as the most serious Internet crime wave since the computer age began...	His most recent victim, an FBI cyber-crimes agent, Griffin Dowd was discovered dead in Reilly's Fairview home basement this morning. <i> In what the FBI is describing as the most serious Internet crime wave since the computer age began... </i> Shit!	crime wave	1	3279503	1065	US	2008			
And now you just made the biggest mistake tryin' to kill me.	Made an even bigger mistake picking my kid brother. <i> And now you just made the biggest mistake tryin' to kill me. </i> - No.	tryin	1	135737	2188	US	2000			
He's gonna catch you, and he's gonna catch you way before you ever catch him.	And I'll tell you something, detective. <i> He's gonna catch you, and he's gonna catch you way before you ever catch him. </i> You believe this guy?	gonna	1	4218973	887	US	2011			
She spends every dime of my inheritance without my old man keeping tabs on her.	My mom would get the axe. <i> She spends every dime of my inheritance without my old man keeping tabs on her. </i> I don't know.	old man	1	4218973	222	US	2011			
Most people would have cut tail and run by now.	That's also interesting. <i> Most people would have cut tail and run by now. </i> But not you.	cut tail	1	4218973	883	US	2011			
.. Hit me with your best shot..	.. Why don't you hit me with your best shot.. <i> .. Hit me with your best shot.. </i> .. Fire away..	hit me	2	186160	1955	US	2004			
If a nig don't got the fire inside, he needs to keep pushir.	Aggression. <i> If a nig don't got the fire inside, he needs to keep pushir. </i> Once his body's all 187'd, he's kerplunked.	nig	3	4574956	566	US	2011			
The choreographers have taken over the world, man.	All the... <i> The choreographers have taken over the world, man. </i> Everything's choreographed now.	man	1	4030209	1224	UK	2003			
What'd you expect, you're gonna win this job, with all the rewards that come with it, by giving them a little simple written answer?	They expect us to cooperate, don't they? <i> What'd you expect, you're gonna win this job, with all the rewards that come with it, by giving them a little simple written answer? </i> Facts and opinions?	gonna	2	4938516	61	UK	2009			
We take those details, download them onto a sewer and then put them onto clean cards for us to use.	We pay somebody a couple of hundred quid to swap their machine for our machine for a few days whilst it racks up the customer details. <i> We take those details, download them onto a sewer and then put them onto clean cards for us to use. </i> Fucking took you long enough.	fucking	1	4629499	332	UK	2012			
- Mate, fuck off, will you?	- Oi, I know you. <i> - Mate, fuck off, will you? </i> One of you cunts threw a fucking glass bottle at my mate last week.	mate	1	4629499	524	UK	2012			
The man mountain, the yodeling flingy.	What's the deal with the Swiss chap? <i> The man mountain, the yodeling flingy. </i> The fuckish dilettante.	flingy	2	5814259	863	UK	2014			
I'm sitting here with Andy Love and I'm gonna snap his fucking neck and stick his head up his ass if I don't get what I want!	Right. <i> I'm sitting here with Andy Love and I'm gonna snap his fucking neck and stick his head up his ass if I don't get what I want! </i> What do you want?	fucking	2	5151994	515	UK	2008			
Marky, light him up, man.	Here, bruv, take it. <i> Marky, light him up, man. </i> - Get that shit up, bruv.	light him up	1	4177060	16	UK	2009			
Come on let's get cracking.	You do realise, you just kissed goodbye to the money. <i> Come on let's get cracking. </i> She's going to run off with it, you must know that?	cracking	1	5681039	1218	UK	2004			
I should probably take this because it's my crack dealer.	No, but what I really want, Martin, is for you to not give up. <i> I should probably take this because it's my crack dealer. </i> - Hello?	crack	2	6237485	856	UK	2014			
I think he's going to kill Noel Winters.	I think he's going to the estate. <i> I think he's going to kill Noel Winters. </i> Who gives a fuck if he is?	fuck	1	4177060	776	UK	2009			
Not your fucking run-of-the-mill common or garden, or fucking diddly fucking zoo.	Like off the Blue Planet. <i> Not your fucking run-of-the-mill common or garden, or fucking diddly fucking zoo. </i> No way.	fucking	3	4987950	295	UK	2011			
I gave them bad guys.	I gave them boys what they needed. <i> I gave them bad guys. </i> And the courts put them away.	guys	1	5052284	885	UK	2002			
Well, cut to the chase.	Listen, I'm tryin' to get in and out of here as quick as fuckin' possible. <i> Well, cut to the chase. </i> What do you want for it?	chase	1	6010762	1152	UK	2012			
♪ 1989 the year Chris started selling draw	♪ It's the new drug Everybody's going crazy for <i> ♪ 1989 the year Chris started selling draw </i> ♪ Picking up from Kirby Scar there beneath his eye	draw	2	6010762	159	UK	2012			
I don't touch money no more.	Count it! <i> I don't touch money no more. </i> Put it down on the table.	no more	1	6010762	215	UK	2012			
You like how we roll, yeah?	How the fuck am I supposed to get home? <i> You like how we roll, yeah? </i> Yeah, definitely, man.	yeah	2	6010762	994	UK	2012			
♪ Who's been waiting round for ever For the motherfuckin' day to come	♪ While he's left in the basement With some racist cunt <i> ♪ Who's been waiting round for ever For the motherfuckin' day to come </i> ♪ What an environment to raise a kid	motherfuckin'	2	6010762	149	UK	2012			
Are you fuckin' off your rocker or what?	I'll be back in a minute. <i> Are you fuckin' off your rocker or what? </i> Pain in the bloody arse!	off your rocker	1	6010762	2203	UK	2012			
That's gonna create a very bad situation for me, and you're just acting like it's some simple fucking thing.	Don is gonna move heaven and earth to find out who put the fucking finger on him, okay? <i> That's gonna create a very bad situation for me, and you're just acting like it's some simple fucking thing. </i> It is simple.	gonna	1	4471635	477	UK	2010			
yeah, a fucking- 30 quid no way- fuck off mate, it's 30 quid	It's a long story, can I help ya? <i> yeah, a fucking- 30 quid no way- fuck off mate, it's 30 quid </i> 30 without a journey?	yeah	1	3121411	433	UK	2006			
You just make sure you're here when we get back, or I'll fucking kill you myself, all right?	Let me worry about Don. <i> You just make sure you're here when we get back, or I'll fucking kill you myself, all right? </i> Let's do it.	fucking	2	4471635	59	UK	2010			
Erm, it was like I hit gold when I got him.	He was an importer of crack cocaine and heroin. <i> Erm, it was like I hit gold when I got him. </i> He ended up getting me married off.	erm	1	4136037	1046	UK	2010			
- You want her to get her kit off, or what?	Kirsty, is it OK if I have a little look at you? <i> - You want her to get her kit off, or what? </i> - No, no, no.	kit	1	5461631	135	UK	2003			
Did you not fucking check to see if the fucking tide was fucking in?	Boss? <i> Did you not fucking check to see if the fucking tide was fucking in? </i> Check how, boss?	fucking	3	4527521	689	UK	2012			
I want him dead today.	I want him dead. <i> I want him dead today. </i> Kill my boy.	him dead	1	3345059	617	UK	2008			
Like you said, you're finished, so do yourself a favour and fuck off.	I'm all right. <i> Like you said, you're finished, so do yourself a favour and fuck off. </i> Yeah?	fuck	2	3345059	345	UK	2008			
Man, that's what she said, all right?	Nigga was... you sure he even knew your sister, man? <i> Man, that's what she said, all right? </i> All right.	nigga	1	3468388	277	US	2007			
It's hot as balls in here.	Taste that. <i> It's hot as balls in here. </i> Yo, you got something to drink?	balls	1	3468388	79	US	2007			
He really lost it, man.	- Shit! <i> He really lost it, man. </i> I think I really broke my hand.	lost it	2	3468388	453	US	2007			
Guess I'll just smoke this joint.	All right, then. <i> Guess I'll just smoke this joint. </i> Joint?	smoke	1	3468388	177	US	2007			
even under my tongue, and even in my ass, once, while I jerked off.	I would save her used cigarettes with that perfect lipstick smudge, faintest trace of her perfume on them, and, when I got home, I would lie naked in my bed and I would lay the cigarette butts all over my body, <i> even under my tongue, and even in my ass, once, while I jerked off. </i> I did not...	jerked off	1	6692456	347	US	2016			
Come on, Ouiser, call your dog.	He's gonna eat daddy alive. <i> Come on, Ouiser, call your dog. </i> You know he'II listen to you.	dog	1	5653079	552	US	2012			
Half an IHOP corn cake.	I made us a midnight snack. <i> Half an IHOP corn cake. </i> I understand that you want to see your daddy.	ihop	1	4728198	751	US	2001			
Ah, I don't care, long as there ain't no zombies in it.	It's her night. <i> Ah, I don't care, long as there ain't no zombies in it. </i> Who want a sandwich?	ain't	1	5653079	1413	US	2012			
If Armando can do it, that man is such an asshole.	Please. <i> If Armando can do it, that man is such an asshole. </i> He treats women like they're trash, but he makes six figures.	asshole	2	5450161	1164	US	2013			
I was just a fuckin idiot to come here.	Blood on the sheets don't make' em virgins. <i> I was just a fuckin idiot to come here. </i> I was a fuckin' idiot to come here.	fuckin	2	6406429	714	US	2001			
I just look right back at her, and pretty soon I'm hard as a fucking rock.	When she does it, I don't mind. <i> I just look right back at her, and pretty soon I'm hard as a fucking rock. </i> It's like she knows what I'm thinking.	hard	1	5450161	1967	US	2013			
Kate, you want a ride home?	Does he say that in Star Wars? <i> Kate, you want a ride home? </i> Nah, I'm good.	ride home	1	5340423	1275	US	2013			
Whatever they were, they couldn't have gone very far or lasted very long.	Maybe they were office staff. <i> Whatever they were, they couldn't have gone very far or lasted very long. </i> - Why not?	office staff	1	6801883	738	US	2014			
We stick to the plan.	- Just be cool. <i> We stick to the plan. </i> - Stick to the plan?	stick	1	6377252	645	US	2009			
I guess now's as good a time as any for me to make my best man's toast.	Um... <i> I guess now's as good a time as any for me to make my best man's toast. </i> I've never given one of these before, so, uh, bear with me.	bear	1	3562517	2240	US	2009			
Then, just when she begins to think that you're another, you know vanilla-nice guy that she can tool around with all night without getting naked you insult her.	You tell her she's got nice lips, nice eyes, nice hair she's intelligent, her moral ethics, whatever crap comes to your mind. <i> Then, just when she begins to think that you're another, you know vanilla-nice guy that she can tool around with all night without getting naked you insult her. </i> Flip the power dynamic, and you let her know you're here to play.	vanilla	1	3562517	1078	US	2009			
I want you to pull financials on everybody in this division.	Phil. <i> I want you to pull financials on everybody in this division. </i> Including me.	pull	2	4953583	806	US	2013			
I apologize on behalf of all the arrogant, faceless, cut-off, asshole doctors out there who've treated you like a non-person while peeking at your breasts.	Okay, I apologize. <i> I apologize on behalf of all the arrogant, faceless, cut-off, asshole doctors out there who've treated you like a non-person while peeking at your breasts. </i> So what's your name?	asshole	1	4109374	582	US	2010			
Pull it the hell over!	Pull over! <i> Pull it the hell over! </i> Asshole!	pull over pull it the hell over asshole	1	135737	541	US	2000			
